0,mse_value,ssim_value
444076946742194176.jpg,2866.88946908,0.715632702854
444842286732414976.jpg,84.4483,0.522904879986
1073509721931618292_1469022660.jpg,1298.70486816,0.891633598837
1327293262138323816_2072141930.jpg,731.854399414,0.698886996687
1184457207289327263_1281352154.jpg,894.082536621,0.826477108585
1106122592031266988_320975949.jpg,2282.22325928,0.769896114673
1112112416471300165_420501197.jpg,2105.64827393,0.831040847173
1067211937052615887_2010231272.jpg,1420.88361816,0.922679221058
1118740184333495472_1996487506.jpg,1129.05358398,0.936632258669
1328661934006837453_1809876150.jpg,402.189943848,0.945875979287
1324369525823438976_2244552798.jpg,1879.77128906,0.759970155356
1103530448331450716_1210567025.jpg,152.595052083,0.738903527328
444467376034037760.jpg,403.824278148,0.838356581281
1094258997818403563_342378945.jpg,186.285529514,0.978934524602
1220005818425844491_30092983.jpg,1452.95925537,0.855152341747
1118572469376565538_1149953631.jpg,138.164689941,0.963061589813
1104746675343182449_1902712033.jpg,1635.74584961,0.719814375569
444036269643804672.jpg,3021.79152344,0.818516299516
1089437694088918244_641481484.jpg,1564.37670898,0.748620877288
1110764527575713907_1919414177.jpg,876.135830078,0.701104252089
445041159195201536.jpg,3135.87433704,0.82508318701
1087684687730259496_248189812.jpg,1051.28193359,0.79884833002
1102867046482120221_1437495834.jpg,664.203042535,0.788353939226
1089929131891100223_494183585.jpg,791.29182373,0.910490664402
1102830484894792603_1641037061.jpg,848.326757812,0.912207655189
1220829164291142896_3057855172.jpg,2982.42690918,0.760201645139
1089779361355953588_1690162844.jpg,977.627609863,0.888755392814
1101904986108838984_1571499080.jpg,2800.44508057,0.74831579339
1109824586549503703_181924552.jpg,678.518808594,0.973384098121
1073630228447825898_1654124162.jpg,1570.03831543,0.711222413335
1092257930802240807_1999826158.jpg,347.635559896,0.634558837164
1326593009017894716_1275027000.jpg,858.371101074,0.791353654896
1331118900415134471_3425787259.jpg,1291.36036865,0.944851041346
1066611597625481072_1565714564.jpg,301.83232666,0.726670309185
1084880571165994524_2133826178.jpg,1360.56137153,0.887249371507
1102531382432708017_1625041996.jpg,787.993986816,0.88289585979
1101811411077652682_2247114183.jpg,1761.31113037,0.762561331098
444772522370662400.jpg,2185.40520181,0.840624298933
1325750707336438215_285887891.jpg,2693.5239502,0.787755346879
1101896995328546853_1406247101.jpg,1549.92754395,0.890095030951
1091925803308022926_2057019222.jpg,1584.44649414,0.827436508113
1090357315542096463_1765532213.jpg,1003.53870117,0.933537823374
1202791305835489125_247599136.jpg,1599.21327637,0.892328848271
1091911896292360552_1993070479.jpg,865.840078125,0.92017396414
1091094907449156987_1530169008.jpg,836.290371094,0.643457691671
444713953113808897.jpg,2837.89578358,0.810490614029
1326519952295273541_1951248534.jpg,1413.52008576,0.928710156292
450685305482276865.jpg,708.778866667,0.404199597479
1110359005846697708_1750217428.jpg,2052.0498584,0.764415904549
1091768490877023475_656133100.jpg,2293.39523193,0.709286058533
1066293365383954390_205691086.jpg,1141.10049561,0.68471918391
