0,A_min,A_avg,A_max,te_min,te_avg,te_max,t_min,t_avg,t_max
441802980564561921.jpg,0.419679144385,0.419679144385,0.419679144385,0.0,0.635613441467,1.21750736237,0.0845102169264,0.636040395825,1.14047478623
442872844423139328.jpg,0.363355119826,0.445403050109,0.500101670298,0.0,0.751777589321,1.37228679657,-0.0357586474411,0.752086628392,1.22669461517
441913275245002753.jpg,0.331395348837,0.369083447332,0.413269493844,0.0751218795776,0.940566241741,1.53117346764,0.524361640397,0.94069785257,1.37042721617
1101443746358127357_467014121.jpg,0.997555012225,0.997555012225,0.997555012225,0.0,0.756129980087,1.44568443298,0.000640861781622,0.756161478319,1.24878922468
444877803784126464.jpg,0.0,0.0,0.0,0.0,1.07299351692,1.96626901627,0.366337134826,1.07351007996,1.78277761665
447019345403600897.jpg,0.554800290487,0.609498910675,0.664197530864,0.067870169878,0.901061296463,1.39755868912,0.209890707617,0.900969273992,1.31400235126
442820083065163776.jpg,0.0,0.0039070442992,0.0078140885984,0.0,0.856672465801,1.50795209408,0.0104379601444,0.856836495373,1.16540619201
444437833898422272.jpg,0.535265068991,0.545683853788,0.558707334786,0.242082715034,0.939296960831,1.36673533916,0.299482630881,0.938908177414,1.25410576303
442848143483228160.jpg,0.143675509419,0.178623606305,0.22522106882,0.0,0.790894687176,1.37313532829,0.299156260687,0.79108813115,1.06174459539
440799115887144960.jpg,0.519636891794,0.574335511983,0.617312999274,0.0,0.705651700497,1.38642954826,0.0824362381955,0.705127639088,1.25189508709
442822694665351168.jpg,0.726666666667,0.748686868687,0.777183600713,0.0,0.722701847553,2.19221544266,0.122102529033,0.72168652774,1.66572344144
439592346900905984.jpg,0.863480392157,0.894737600923,0.910366205306,0.0,0.624354541302,1.88133883476,-0.0780028929143,0.623814524273,1.95723263646
1102100021487778481_1955848757.jpg,0.982429834679,0.982429834679,0.982429834679,0.0,0.616520762444,1.65234422684,0.0416638288432,0.617992445731,1.33035305303
443399780006232064.jpg,0.0,0.0,0.0,0.0,0.941327512264,1.52926445007,0.0812257183814,0.941290746204,1.50866892842
444044432149446656.jpg,0.955935828877,0.965002970885,0.979251336898,0.0,0.561497807503,1.42304563522,0.0147469360144,0.563282707836,1.48933574655
444464612159651840.jpg,0.746011496968,0.746011496968,0.746011496968,0.0,0.386208146811,1.34175717831,-0.0608423386979,0.385758541032,1.39374718812
444099760161439745.jpg,0.0,0.00647186979367,0.0116493656286,0.0,0.808031141758,1.5319674015,0.165505747362,0.808522707777,1.37815060483
444083129784209408.jpg,0.687142113483,0.687142113483,0.687142113483,0.362499952316,1.12326025963,2.21313548088,0.720759959838,1.1230141908,1.49151215461
444465415293374464.jpg,0.84920751634,0.902690631808,0.935302287582,0.0,0.606220662594,1.20269441605,0.00889704399866,0.605958391885,1.21961847624
1090518732025421624_545259662.jpg,0.891931540342,0.906275468623,0.915403422983,0.0,0.545864343643,1.17396497726,-0.0280196919475,0.546139822004,1.06883275219
444069286898700289.jpg,0.998435054773,0.998435054773,0.998435054773,0.0,0.310010790825,1.68384361267,-0.000714235926392,0.310519738537,1.39857378634
444319752962711552.jpg,0.859641698406,0.881783984577,0.918253632388,0.0,0.417369753122,1.5412722826,0.00692068175531,0.417330439888,1.32534344151
444350007475310592.jpg,0.997222222222,0.997222222222,0.997222222222,0.0,0.520297825336,1.84548997879,-1.03038782176e-09,0.520143308198,1.22600629685
448848373194301440.jpg,0.101583151779,0.141955942871,0.164095860566,0.0,0.877879083157,1.39028465748,0.123680606556,0.87783835909,1.24059479696
439591301005074433.jpg,0.738431372549,0.78401355604,0.843921568627,0.0,0.748572587967,1.86945271492,-0.00671794285589,0.747979872881,1.45565412657
444354660158017536.jpg,0.0,0.0,0.0,0.0,0.863199830055,1.77264618874,0.18884402076,0.863913778562,1.30639466646
441464984699027456.jpg,0.443237807944,0.642824423217,0.758169934641,0.0,0.952740967274,1.4500092268,0.118555739971,0.953195197882,1.36587469329
444748679434354688.jpg,0.0,0.0870092699389,0.257131872357,0.0,0.900489151478,1.94422960281,0.420680610896,0.900409025197,1.5927284295
444842057102655488.jpg,0.0,0.0349480968858,0.0893118031526,0.0241330564022,1.03326487541,1.43282055855,0.417997831824,1.03401641692,1.32762871277
442665486895939584.jpg,0.997222222222,0.997222222222,0.997222222222,0.0,0.734778404236,1.35190832615,0.0238220611491,0.736174039777,1.14882720993
442639663463821312.jpg,0.256286043829,0.341714725106,0.399961553249,0.0,0.681889414787,1.16081297398,0.0791913008316,0.681612771505,1.12977298944
445170030984962048.jpg,0.986163522013,0.990076869322,0.993990216632,0.0,0.504229903221,1.63522458076,-0.00795835631947,0.504344381397,1.33442940382
447998277640663040.jpg,0.964591503268,0.973703703704,0.980212418301,0.0,0.306095421314,1.84110808372,0.00127420908227,0.303480474169,1.39081212363
449014627184046080.jpg,0.14846768337,0.201863955459,0.230515613653,0.0,0.767018318176,1.77713012695,0.277916000303,0.767184634747,1.68776066365
444080054385909761.jpg,0.962026143791,0.971151053014,0.985490196078,0.0,0.465857088566,1.76796483994,-7.19446083619e-15,0.466252926488,1.42546671726
444116203322093569.jpg,0.520235294118,0.533176470588,0.543529411765,0.162176311016,0.603528916836,1.28646814823,0.365996795793,0.602908316641,0.84203270997
444032927941160960.jpg,0.0,0.0117373461012,0.0195622435021,0.640131354332,1.07430887222,2.12675666809,0.900450929972,1.07412096634,1.60652572112
446309801723584512.jpg,0.0507915758896,0.100280803679,0.125025417574,0.0,0.936818063259,1.13240551949,0.379242713457,0.936877867301,1.07136424358
440810160752062464.jpg,0.582149600581,0.591266037279,0.597777777778,0.303917348385,0.823658287525,1.43993747234,0.279761159164,0.823116987281,1.11967355654
444322362977026048.jpg,0.996763754045,0.996763754045,0.996763754045,0.0,0.760540187359,1.72643351555,0.0314960217064,0.761734222189,1.51938465589
450583924154957824.jpg,0.234640522876,0.307639796659,0.367603485839,0.0,0.94303560257,1.76717400551,0.115733277022,0.943886046823,1.31259666544
444065402197254145.jpg,0.954861944778,0.963918900894,0.978151260504,0.0,0.505207896233,1.4068249464,0.000166522966824,0.506819590443,1.39666547199
444143883140608000.jpg,0.0155324875048,0.0232987312572,0.0349480968858,0.0,1.29872274399,1.90644621849,0.42282051224,1.29895393296,1.69493639102
